"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","100","13848","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","13","18","3.854","2.895","0","92.3","7.7","0.0","0.0","5","3","5","4","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","2","0","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","110","4454","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","16","28","3.881","3.024","0","93.8","6.3","0.0","0.0","12","1","11","3","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","11","0","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","113","11957","ATKINS LLC FOUNDATIONAL COURSE","Khan-Thomas,Zeba Yvonne","27","29","3.819","2.684","0","88.9","7.4","3.7","0.0","2","8","12","4","1","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","120","4455","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","5","7","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","150","4456","SURV CULTR OF BLACK AMERICANS","Wester,Maisha","86","116","2.363","2.595","1","15.1","38.4","22.1","15.1","38","0","7","6","11","15","7","7","6","6","7","4","2","8","19","11","0","0","0","0","0","0","0","0","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","156","33558","JIM CROW AND APARTHEID","Sterling,Andrea Marie","29","35","3.434","3.094","3.3","62.1","24.1","10.3","0.0","7","6","9","3","4","1","2","3","0","0","0","0","0","1","0","5","1","0","0","0","0","0","0","0","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","210","10199","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","32","38","3.072","2.925","0","28.1","53.1","15.6","3.1","6","0","4","5","8","5","4","2","2","1","1","0","0","0","0","6","0","0","0","0","0","0","0","0","01-18-2019",
"Fall 2018","4188","8W2","Eight Week - Second","AAAD","AAAD-A","221","35956","DANCE IN THE AFRICAN DIASPORA","Berry Jr,Stafford C","22","31","3.464","3.114","0","86.4","0.0","4.5","0.0","11","0","13","6","0","0","0","0","1","0","0","0","0","2","1","8","0","0","0","0","0","0","0","0","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","263","31495","CONTEMP SOC ISS-AFR AMER COMM","Hamilton Abegunde,Maria Eliza","26","28","3.346","3.086","3.8","69.2","7.7","15.4","3.8","3","0","18","0","0","2","0","0","4","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","01-18-2019",
"Fall 2018","4188","1","Regular Academic Session","AAAD","AAAD-A","264","5246","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","76","86","2.886","2.728","0","21.1","55.3","17.1","3.9","12","1","5","10","15","17","10","7","4","2","2","0","1","2","1","9","0","0","0","0","0","0","0","0","01-18-2019",
