"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2015","4155","6W2","Six Week - Second","AAAD","AAAD-A","104","4929","GROUPS THEATRE WORKSHOP","Kote,David Paul","16","17","4","3.239","0","100.0","0.0","0.0","0.0","1","16","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-18-2015",
"Summer 2015","4155","4W2","Four Week - Second","AAAD","AAAD-A","150","4930","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","36","44","3.417","2.835","5.6","50.0","41.7","8.3","0.0","8","1","11","6","8","3","4","2","1","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","09-18-2015",
"Summer 2015","4155","4W1","Four Week - First","AAAD","AAAD-A","154","7099","HISTORY OF RACE IN AMERICAS","Jones,Caralee Georgianna","23","27","3.074","2.795","0","47.8","21.7","21.7","8.7","4","3","3","5","2","2","1","4","1","0","0","1","1","0","1","3","0","0","0","0","0","0","0","0","09-18-2015",
"Summer 2015","4155","4W1","Four Week - First","AAAD","AAAD-A","278","8165","CONTEMPORARY BLACK FILM","Horsley,Marsha Nicole","18","24","3.461","2.824","5.3","50.0","44.4","5.6","0.0","6","1","5","3","4","3","1","1","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","09-18-2015",
"Summer 2015","4155","4W3","Four Week - Third","AAAD","AAAD-A","380","7537","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","24","30","3.471","3.086","3.8","58.3","37.5","0.0","0.0","7","0","10","4","6","2","1","0","0","0","0","0","0","1","2","4","0","0","0","0","0","0","0","0","09-18-2015",
"Summer 2015","4155","6W2","Six Week - Second","AAAD","AAAD-A","388","4915","MOTOWN","Sykes,Charles Evans","16","23","2.9","2.615","5.6","43.8","31.3","12.5","0.0","9","3","2","2","1","4","0","0","1","1","0","0","0","2","0","5","2","0","0","0","0","0","0","0","09-18-2015",
"Summer 2015","4155","1","Regular Academic Session","AAAD","AAAD-A","486","5000","INTERNSHIP IN AAADS","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","1","Regular Academic Session","AAAD","AAAD-A","669","4925","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","1","Regular Academic Session","AAAD","AAAD-A","689","4926","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","1","Regular Academic Session","AAAD","AAAD-A","899","7014","PHD DISSERTATION RESEARCH","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","NS2","Non Standard Session 2","AADM","AADM-Y","500","15280","TOPICS IN ARTS ADMINISTRATION","Herzig,Monika Gm","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","6W1","Six Week - First","AADM","AADM-Y","550","3446","PRACTICUM IN ARTS ADMIN","Rushton,Michael","0","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","6W2","Six Week - Second","AADM","AADM-Y","550","3447","PRACTICUM IN ARTS ADMIN","Rushton,Michael","0","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","6W1","Six Week - First","AADM","AADM-Y","559","13925","PUBLIC POLICY AND THE ARTS","Wilkerson,Michael Neil","2","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","NS2","Non Standard Session 2","AADM","AADM-Y","750","15492","INTERNSHIP IN ARTS ADMIN","Starnes,Megan R","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","6W1","Six Week - First","AADM","AADM-Y","750","3448","INTERNSHIP IN ARTS ADMIN","Rushton,Michael","0","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","6W1","Six Week - First","AADM","AADM-Y","750","9094","INTERNSHIP IN ARTS ADMIN","Starnes,Megan R","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","1","Regular Academic Session","ABEH","ABEH-A","495","5231","ANIMAL BEHAVIOR INTERNSHIP","Smith,G Troy","0","7","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","8W2","Eight Week - Second","ABEH","ABEH-A","495","8416","ANIMAL BEHAVIOR INTERNSHIP","Smith,G Troy","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","1","Regular Academic Session","AFRI","AFRI-A","500","6866","ADV TOPICS IN AFRICAN STUDIES","Obeng,Samuel Gyasi","2","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
"Summer 2015","4155","1","Regular Academic Session","AFRI","AFRI-A","651","5725","IND RESEARCH/DIRECTED READINGS","Obeng,Samuel Gyasi","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-18-2015",
