"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"First Summer Session 2011","4115SS1","","","AAAD","AAAD-A","249","13259","AFRICAN AMERICAN AUTOBIOGRAPHY","Drieling,Claudia","24","28","3.783","3.039","4.0","83.3","16.7","0.0","0.0","4","8","7","5","2","1","1","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","07-15-2011",
"First Summer Session 2011","4115SS1","","","AAAD","AAAD-A","356","13258","AFRICAN-AMERICAN HISTORY II","Assensoh,Akwasi B.","21","23","3.557","2.922","0.0","57.1","42.9","0.0","0.0","2","3","6","3","2","7","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","07-15-2011",
"First Summer Session 2011","4115SS1","","","AAAD","AAAD-A","388","7092","MOTOWN","Sykes,Charles Evans","35","38","3.023","2.737","5.6","42.9","25.7","25.7","5.7","3","4","8","3","1","6","2","3","3","3","1","0","1","0","0","2","1","0","0","0","0","0","0","0","07-15-2011",
"First Summer Session 2011","4115SS1","","","AAAD","AAAD-A","590","10568","SPECIAL TOPICS AFRO-AMER STDS","Carter,Stephanie Michelle","0","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-15-2011",
"First Summer Session 2011","4115SS1","","","AAAD","AAAD-A","669","7122","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","4","4","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-15-2011",
"First Summer Session 2011","4115SS1","","","AAAD","AAAD-A","799","15100","STUDY&RESEARCH ABROAD IN AAADS","Grim,Valerie","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-15-2011",
"First Summer Session 2011","4115SS1","","","AAAD","AAAD-A","899","14598","PHD DISSERTATION RESEARCH","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-15-2011",
"First Summer Session 2011","4115SS1","","","AADM","AADM-Y","550","4928","PRACTICUM IN ARTS ADMIN","Rushton,Michael","0","12","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-15-2011",
"First Summer Session 2011","4115SS1","","","AADM","AADM-Y","750","4930","INTERNSHIP IN ARTS ADMIN","Rushton,Michael","0","12","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-15-2011",
"First Summer Session 2011","4115SS1","","","AFRI","AFRI-A","500","13191","ADV TOPICS IN AFRICAN STUDIES","Obeng,Samuel Gyasi","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-15-2011",
