"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2016","4165","6W2","Six Week - Second","AAAD","AAAD-A","104","3517","GROUPS THEATRE WORKSHOP","Smith,Amelia Grace","30","35","3.937","3.371","0","96.7","3.3","0.0","0.0","5","15","10","4","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","6W2","Six Week - Second","AAAD","AAAD-A","132","14119","RECENT AAAD LITERATURE","Khan-Thomas,Zeba Yvonne","17","21","3.771","3.468","0","82.4","17.6","0.0","0.0","4","3","5","6","3","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","6W2","Six Week - Second","AAAD","AAAD-A","150","14120","SURV CULTR OF BLACK AMERICANS","Hobson III,Floyd Daniel","35","37","3.674","3.369","0","77.1","20.0","2.9","0.0","2","6","12","9","2","3","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","4W2","Four Week - Second","AAAD","AAAD-A","150","3518","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","25","30","3.36","2.718","0","52.0","32.0","16.0","0.0","5","1","8","4","4","1","3","3","1","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","6W2","Six Week - Second","AAAD","AAAD-A","156","14121","JIM CROW AND APARTHEID","Mahady,Anne E.","17","20","3.653","3.195","0","76.5","17.6","5.9","0.0","3","4","4","5","2","1","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","6W2","Six Week - Second","AAAD","AAAD-A","169","14122","INTRO TO AFRICAN AMERICAN LIT","Dieter,Katie Eleanor","33","39","3.782","3.409","0","81.8","18.2","0.0","0.0","6","6","15","6","3","2","1","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","4W1","Four Week - First","AAAD","AAAD-A","278","6445","CONTEMPORARY BLACK FILM","Horsley,Marsha Nicole","17","18","3.888","2.952","0","94.1","5.9","0.0","0.0","1","8","6","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","6W2","Six Week - Second","AAAD","AAAD-A","380","15351","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","23","34","3.383","2.707","0","65.2","21.7","8.7","0.0","12","0","9","6","2","3","0","0","2","0","0","0","0","1","1","9","1","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","6W2","Six Week - Second","AAAD","AAAD-A","388","3503","MOTOWN","Sykes,Charles Evans","12","18","2.642","2.501","0","41.7","8.3","33.3","8.3","7","3","1","1","1","0","0","0","3","1","0","1","0","1","0","6","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","1","Regular Academic Session","AAAD","AAAD-A","398","16388","ADV TPCS IN SOCIAL&HIST AAADS","","20","20","3.84","3.311","0","90.0","10.0","0.0","0.0","0","2","12","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-16-2016",
