"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2017","4175","6W2","Six Week - Second","AAAD","AAAD-A","132","8401","RECENT AAAD LITERATURE","Khan-Thomas,Zeba Yvonne","19","21","3.953","3.287","0","100.0","0.0","0.0","0.0","2","6","10","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-08-2017",
"Summer 2017","4175","4W1","Four Week - First","AAAD","AAAD-A","150","4988","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","19","19","3.468","2.877","5.3","57.9","26.3","15.8","0.0","0","1","5","5","5","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-08-2017",
"Summer 2017","4175","6W2","Six Week - Second","AAAD","AAAD-A","150","8402","SURV CULTR OF BLACK AMERICANS","Mahady,Anne E.","34","36","3.903","3.392","0","91.2","8.8","0.0","0.0","2","14","13","4","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-08-2017",
"Summer 2017","4175","6W2","Six Week - Second","AAAD","AAAD-A","169","8404","INTRO TO AFRICAN AMERICAN LIT","Smith,Amelia Grace","25","25","3.844","3.387","0","88.0","12.0","0.0","0.0","0","2","15","5","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-08-2017",
"Summer 2017","4175","6W2","Six Week - Second","AAAD","AAAD-A","265","13991","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","32","34","3.453","3.239","0","53.1","43.8","3.1","0.0","2","0","5","12","7","6","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-08-2017",
"Summer 2017","4175","6W2","Six Week - Second","AAAD","AAAD-A","380","8774","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","24","27","3.275","3.008","0","41.7","50.0","4.2","0.0","4","0","4","6","9","1","2","1","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","09-08-2017",
"Summer 2017","4175","6W1","Six Week - First","AAAD","AAAD-A","388","4982","MOTOWN","Sykes,Charles Evans","9","9","3.511","2.924","11.1","66.7","11.1","22.2","0.0","0","5","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-08-2017",
"Summer 2017","4175","6W2","Six Week - Second","AAAD","AAAD-A","669","15289","INDEP PROJ BLACK SOCIAL ISSUES","Calloway-Thomas,Carolyn","2","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-08-2017",
"Summer 2017","4175","1","Regular Academic Session","AAAD","AAAD-A","669","4983","INDEP PROJ BLACK SOCIAL ISSUES","Calloway-Thomas,Carolyn","0","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-08-2017",
"Summer 2017","4175","6W1","Six Week - First","AAAD","AAAD-A","697","14716","SPECIAL TOPICS IN AAADS","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-08-2017",
