"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2018","4185","6W2","Six Week - Second","AAAD","AAAD-A","132","7860","RECENT AAAD LITERATURE","Khan-Thomas,Zeba Yvonne","32","32","3.709","3.496","0","71.9","28.1","0.0","0.0","0","8","10","5","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AAAD","AAAD-A","150","7861","SURV CULTR OF BLACK AMERICANS","Sterling,Andrea Marie","33","36","3.688","3.383","0","78.8","15.2","3.0","3.0","3","11","9","6","3","2","0","1","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AAAD","AAAD-A","169","7863","INTRO TO AFRICAN AMERICAN LIT","Wise,Raymond","35","35","3.974","3.523","0","100.0","0.0","0.0","0.0","0","12","20","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AAAD","AAAD-A","265","8446","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","34","36","3.276","3.21","0","35.3","58.8","5.9","0.0","2","0","3","9","8","10","2","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AAAD","AAAD-A","388","13934","MOTOWN","Sykes,Charles Evans","8","11","3.125","2.611","0","62.5","12.5","12.5","0.0","4","3","1","1","1","0","0","0","1","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","AAAD","AAAD-A","669","4843","INDEP PROJ BLACK SOCIAL ISSUES","Calloway-Thomas,Carolyn","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","AAAD","AAAD-A","695","4892","MASTER'S THESIS COLLOQUIUM","Calloway-Thomas,Carolyn","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","AAAD","AAAD-A","698","4845","FIELD STUDY SEMINAR","Calloway-Thomas,Carolyn","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","AAAD","AAAD-A","799","6207","STUDY&RESEARCH ABROAD IN AAADS","Calloway-Thomas,Carolyn","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","AAAD","AAAD-A","899","6179","PHD DISSERTATION RESEARCH","Calloway-Thomas,Carolyn","0","4","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","NS2","Non Standard Session 2","AADM","AADM-Y","500","13778","TOPICS IN ARTS ADMINISTRATION","Lewis,Frank","1","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","NS1","Non Standard Session 1","AADM","AADM-Y","500","13802","TOPICS IN ARTS ADMINISTRATION","Kuhar,Ursula Maria","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","NS2","Non Standard Session 2","AADM","AADM-Y","500","13807","TOPICS IN ARTS ADMINISTRATION","Herzig,Monika Gm","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","6W1","Six Week - First","AADM","AADM-Y","550","3731","PRACTICUM IN ARTS ADMIN","Starnes,Megan R","0","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AADM","AADM-Y","550","3732","PRACTICUM IN ARTS ADMIN","Starnes,Megan R","0","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","AADM","AADM-Y","550","7498","PRACTICUM IN ARTS ADMIN","Starnes,Megan R","0","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","6W1","Six Week - First","AADM","AADM-Y","690","7470","INDPT STUDY IN ARTS ADMIN","Wilkerson,Michael Neil","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AADM","AADM-Y","690","7471","INDPT STUDY IN ARTS ADMIN","Wilkerson,Michael Neil","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","AADM","AADM-Y","750","7668","INTERNSHIP IN ARTS ADMIN","Redman,Miranda Darlene","7","16","4","3.904","93.3","100.0","0.0","0.0","0.0","9","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","1","Regular Academic Session","ABEH","ABEH-X","473","5040","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","8","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","8W2","Eight Week - Second","ABEH","ABEH-X","473","7144","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","4W1","Four Week - First","AFRI","AFRI-L","100","12895","TOPICS IN AFRI SOCIETY&CULTURE","Sow,Amadou Beidy","5","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","4W2","Four Week - Second","AFRI","AFRI-L","202","12896","OCCULTISM IN AFRICA","Adu-Amankwah,David","6","7","3.733","2.973","0","83.3","16.7","0.0","0.0","1","0","3","2","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","4W2","Four Week - Second","AFRI","AFRI-S","101","13656","ELEMENTARY SWAHILI 1","Evans,Kathleen","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","4W3","Four Week - Third","AFRI","AFRI-S","102","13666","ELEMENTARY SWAHILI 2","Evans,Kathleen","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","4W2","Four Week - Second","AFRI","AFRI-S","501","13657","ELEMENTARY SWAHILI I","Evans,Kathleen","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","4W3","Four Week - Third","AFRI","AFRI-S","502","13667","ELEMENTARY SWAHILI II","Evans,Kathleen","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
"Summer 2018","4185","6W1","Six Week - First","AMST","AMST-A","100","6241","WHAT IS AMERICA?","Halloran,Vivian","106","120","3.377","3.083","0","59.4","31.1","3.8","1.9","18","9","38","16","14","9","10","2","2","0","0","2","0","4","4","10","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AMST","AMST-A","200","13881","COMPARATIVE AMER IDENTITIES","Halloran,Vivian","50","74","3.382","3.075","0","64.0","22.0","8.0","2.0","26","21","6","5","1","9","1","1","3","0","1","0","0","2","9","15","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","6W2","Six Week - Second","AMST","AMST-A","201","14513","U.S. MOVEMENTS & INSTITUTIONS","Mowatt,Rasul A","47","49","3.315","3.204","0","61.7","21.3","10.6","2.1","4","16","10","3","3","3","4","3","0","2","0","0","1","2","1","1","0","0","0","0","0","0","0","0","09-07-2018",
"Summer 2018","4185","8W2","Eight Week - Second","AMST","AMST-G","805","15410","PHD THESIS","Halloran,Vivian","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018",
