"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2014","4145","6W2","Six Week - Second","AAAD","AAAD-A","104","9745","GROUPS THEATRE WORKSHOP","Kote,David Paul","10","10","3.6","2.965","0","90.0","0.0","0.0","0.0","1","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","09-19-2014",
"Summer 2014","4145","4W2","Four Week - Second","AAAD","AAAD-A","150","9746","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","37","43","3.227","2.888","0","37.8","54.1","5.4","0.0","7","4","5","5","9","3","8","2","0","0","0","0","0","1","3","3","0","0","0","0","0","0","0","0","09-19-2014",
"Summer 2014","4145","4W1","Four Week - First","AAAD","AAAD-A","154","12175","HISTORY OF RACE IN AMERICAS","Doss,Adeyemi Oduwale","29","33","3.759","2.917","3.4","86.2","3.4","10.3","0.0","4","21","4","0","0","1","0","1","1","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-19-2014",
"Summer 2014","4145","4W1","Four Week - First","AAAD","AAAD-A","210","13519","BLACK WOMEN IN THE DIASPORA","Dieter,Katie Eleanor","9","10","3.967","2.647","0","100.0","0.0","0.0","0.0","1","5","3","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-19-2014",
"Summer 2014","4145","4W2","Four Week - Second","AAAD","AAAD-A","278","13520","CONTEMPORARY BLACK FILM","Horsley,Marsha Nicole","25","28","3.684","3.374","0","72.0","28.0","0.0","0.0","3","4","9","5","3","3","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","09-19-2014",
"Summer 2014","4145","4W3","Four Week - Third","AAAD","AAAD-A","380","12714","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","23","28","3.535","3.104","0","52.2","47.8","0.0","0.0","5","1","1","10","11","0","0","0","0","0","0","0","0","0","1","3","1","0","0","0","0","0","0","0","09-19-2014",
"Summer 2014","4145","6W2","Six Week - Second","AAAD","AAAD-A","388","9730","MOTOWN","Sykes,Charles Evans","15","25","3.527","2.77","0","80.0","6.7","13.3","0.0","10","3","1","8","0","1","0","1","1","0","0","0","0","0","1","7","1","0","0","0","0","0","1","0","09-19-2014",
"Summer 2014","4145","1","Regular Academic Session","AAAD","AAAD-A","486","9825","INTERNSHIP IN AAADS","Grim,Valerie","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-19-2014",
"Summer 2014","4145","1","Regular Academic Session","AAAD","AAAD-A","495","9731","INDIV READ IN AFR AMER STUDIES","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-19-2014",
"Summer 2014","4145","1","Regular Academic Session","AAAD","AAAD-A","799","12128","STUDY&RESEARCH ABROAD IN AAADS","Grim,Valerie","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-19-2014",
