"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","100","11584","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","14","21","4","2.709","0","100.0","0.0","0.0","0.0","7","14","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","5","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","110","11585","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","22","36","3.555","2.913","3.1","77.3","18.2","0.0","0.0","15","0","9","8","2","2","0","0","0","0","0","0","0","1","3","4","0","0","0","0","0","0","7","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","112","32988","BLACK MUSIC OF TWO WORLDS","Burnim,Mellonee Victoria","13","24","2.562","2.975","5","0.0","53.8","46.2","0.0","11","0","0","0","3","3","1","1","3","2","0","0","0","0","7","4","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","112","35213","BLACK MUSIC OF TWO WORLDS","Burnim,Mellonee Victoria","11","24","2.455","2.665","0","0.0","63.6","27.3","0.0","14","0","0","0","1","4","2","2","0","1","0","0","0","1","5","8","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","120","11586","SOUL REVUE","Cooper,Tyron","22","23","4","2.854","0","100.0","0.0","0.0","0.0","1","18","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","150","11587","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","142","178","2.742","2.863","1.3","35.9","30.3","14.8","14.1","43","11","19","21","11","19","13","8","8","5","4","13","3","7","11","24","1","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","154","19876","HISTORY OF RACE IN AMERICAS","Doss,Adeyemi Oduwale","45","48","3.427","3.042","0","68.9","22.2","4.4","2.2","4","16","5","10","1","3","6","0","2","0","0","0","1","1","1","2","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","8W2","Eight Week - Second","AAAD","AAAD-A","221","13919","DANCE IN THE AFRICAN DIASPORA","Rosa,Iris","26","34","3.823","3.195","0","88.5","7.7","3.8","0.0","8","13","5","5","2","0","0","1","0","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","264","12702","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","100","108","2.991","2.778","0","28.0","49.0","17.0","4.0","10","0","11","17","24","18","7","10","4","3","1","2","1","2","3","5","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","277","19443","IMGS BLACKS FILMS: 1903-1950'S","Horsley,Marsha Nicole","28","43","3.771","2.947","3","78.6","17.9","3.6","0.0","15","13","7","2","4","1","0","0","1","0","0","0","0","0","4","10","1","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","295","17144","SURVEY OF HIP HOP","Orejuela,Fernando","84","96","3.208","3.051","0","35.7","53.6","8.3","2.4","12","7","8","15","19","13","13","4","3","0","1","0","1","0","4","7","0","0","1","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","350","16936","BLACK ATLANTIC","Hamilton Abegunde,Maria Eliza","29","35","3.493","2.762","9.4","69.0","17.2","10.3","0.0","7","0","18","2","3","1","1","2","0","1","0","0","0","1","3","3","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","352","19991","AFRI AM ART II:AFRI AM ARTISTS","Wolfskill,Phoebe","7","13","2.629","2.68","22.2","28.6","28.6","28.6","14.3","6","0","0","2","1","1","0","0","1","1","0","1","0","0","1","4","0","0","1","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","355","11588","AFRICAN-AMERICAN HISTORY I","Williams,Jakobi","43","53","3.056","2.749","6.1","18.6","65.1","14.0","2.3","10","0","5","3","9","16","3","4","2","0","1","0","0","0","6","4","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","379","11589","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","32","42","3.444","2.802","5.4","59.4","31.3","9.4","0.0","10","0","7","12","8","2","0","0","1","2","0","0","0","0","3","5","2","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","398","34958","ADV TPCS IN SOCIAL&HIST AAADS","Myers,Amrita","2","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","399","19439","ADV TPCS ARTS&HUMANITIES AAADS","Wester,Maisha","9","13","2.722","2.755","36.4","55.6","11.1","11.1","11.1","5","0","1","4","1","0","0","0","0","1","0","0","1","1","2","2","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","399","31023","ADV TPCS ARTS&HUMANITIES AAADS","Wolfskill,Phoebe","2","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","399","31024","ADV TPCS ARTS&HUMANITIES AAADS","Horton-Stallings,Lamonda","4","4","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","8W2","Eight Week - Second","AAAD","AAAD-A","399","35031","ADV TPCS ARTS&HUMANITIES AAADS","Louis,Diana Martha","9","17","3.644","2.623","8.3","77.8","22.2","0.0","0.0","8","2","1","4","1","0","1","0","0","0","0","0","0","0","2","5","0","0","1","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","399","35783","ADV TPCS ARTS&HUMANITIES AAADS","Francis,Terri","2","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","8W2","Eight Week - Second","AAAD","AAAD-A","480","19875","THE BLACK NOVEL","Wester,Maisha","22","34","1.455","2.596","4","18.2","9.1","9.1","27.3","20","2","2","0","0","1","1","0","2","0","2","3","1","8","3","9","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","493","11590","SENIOR SEMINAR IN AAADS","McElroy,Frederick L.","6","7","3.9","2.665","100","100.0","0.0","0.0","0.0","1","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","500","19440","INTR AFRC AM&AFRC DIASP PART I","Grim,Valerie","9","10","3.867","3.765","33.3","100.0","0.0","0.0","0.0","1","0","5","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","579","14163","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","5","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","590","34510","SPECIAL TOPICS AFRO-AMER STDS","Wolfskill,Phoebe","2","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","599","16931","MA THESIS RESEARCH","Grim,Valerie","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","669","11602","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","8W2","Eight Week - Second","AAAD","AAAD-A","680","20313","THE BLACK NOVEL","Wester,Maisha","0","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","689","11604","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","697","34959","SPECIAL TOPICS IN AAADS","Myers,Amrita","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","698","11605","FIELD STUDY SEMINAR","Grim,Valerie","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","799","16659","STUDY&RESEARCH ABROAD IN AAADS","Grim,Valerie","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-A","899","16463","PHD DISSERTATION RESEARCH","Grim,Valerie","0","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAAD","AAAD-G","901","16464","ADVANCED RESEARCH","Grim,Valerie","0","4","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","500","16344","TOPICS IN ARTS ADMINISTRATION","Wilkerson,Michael Neil","37","38","3.822","3.691","81.6","83.8","16.2","0.0","0.0","1","0","23","8","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","500","16669","TOPICS IN ARTS ADMINISTRATION","McClelland,Danielle Rae","4","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","500","19692","TOPICS IN ARTS ADMINISTRATION","Woronkowicz,Joanna","6","7","3.55","3.642","100","66.7","16.7","16.7","0.0","1","4","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","511","11188","PERFORMING ARTS CENTER MGMT","Booher,Douglas D","36","41","3.897","3.664","73.7","97.2","2.8","0.0","0.0","5","9","16","10","1","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","1","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","525","13912","MUSEUM MANAGEMENT","Lewis,Frank","29","29","3.614","3.756","96.6","55.2","44.8","0.0","0.0","0","0","11","5","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","535","17930","ARTS ADMIN & CULTURAL SECTOR","Rushton,Michael","40","41","3.803","3.775","72.5","90.0","7.5","0.0","0.0","2","22","9","5","2","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","550","6620","PRACTICUM IN ARTS ADMIN","Rushton,Michael","0","9","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","650","6621","SEMINAR IN ARTS ADMINISTRATION","Nicholson-Crotty,Jill","40","40","4","3.75","85","100.0","0.0","0.0","0.0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","690","6623","INDPT STUDY IN ARTS ADMIN","Rushton,Michael","2","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AADM","AADM-Y","750","6624","INTERNSHIP IN ARTS ADMIN","Rushton,Michael","6","7","4","3.809","85.7","100.0","0.0","0.0","0.0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAST","AAST-A","101","15964","INTR TO ASIAN AMERICAN STUDIES","Flahault,Morgane","29","50","3.134","2.997","0","41.4","37.9","20.7","0.0","21","4","3","5","2","5","4","2","2","2","0","0","0","0","2","19","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AAST","AAST-A","300","30305","TPCS IN ASIAN AMERICAN STUDIES","Inouye,Karen M","28","34","3.021","2.786","0","21.4","57.1","21.4","0.0","6","0","3","3","2","13","1","4","2","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","ABEH","ABEH-A","495","11953","ANIMAL BEHAVIOR INTERNSHIP","Smith,G Troy","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AERO","AERO-A","101","6625","INTRO TO THE AIR FORCE TODAY","Hoadley,Michael A.","13","25","3.946","3.067","0","92.3","7.7","0.0","0.0","12","10","2","0","1","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AERO","AERO-A","201","6628","EVOLUTION USAF AIR & SPACE PWR","Frierson,Roy","17","20","3.959","3.255","0","94.1","5.9","0.0","0.0","3","15","1","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","01-23-2015",
"Fall 2014","4148","1","Regular Academic Session","AERO","AERO-A","301","6631","AIR FORCE LEADERSHIP STUDIES","Muerle,Derek","6","6","3.3","3.19","0","50.0","50.0","0.0","0.0","0","0","0","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-23-2015",
