"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","100","6212","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","10","15","4","2.841","0","100.0","0.0","0.0","0.0","5","9","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","110","6213","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","26","35","3.9","3.088","7.1","92.3","7.7","0.0","0.0","9","0","23","1","0","1","1","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","2","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","112","29088","BLACK MUSIC OF TWO WORLDS","Burnim,Mellonee Victoria","20","21","2.305","2.722","0","10.0","40.0","35.0","5.0","3","0","1","1","2","4","2","2","1","4","0","1","0","2","1","0","0","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","120","6214","SOUL REVUE","Cooper,Tyron","14","15","4","2.964","0","100.0","0.0","0.0","0.0","1","11","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","150","6216","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","144","165","3.151","3.043","0","44.4","33.3","18.8","2.8","22","14","28","22","14","27","7","7","14","6","0","4","0","1","9","12","0","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","154","33288","HISTORY OF RACE IN AMERICAS","Stanfield,John H.","29","61","3.307","2.848","2.5","51.7","34.5","13.8","0.0","32","5","5","5","1","7","2","0","3","1","0","0","0","0","10","21","1","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","169","32777","INTRO TO AFRICAN AMERICAN LIT","Comer,Nandi Njeri-Ayinde","27","39","3.052","2.919","0","37.0","48.1","7.4","0.0","14","3","3","4","4","6","3","1","1","0","0","0","0","2","3","8","1","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","8W2","Eight Week - Second","AAAD","AAAD-A","221","8731","DANCE IN THE AFRICAN DIASPORA","Rosa,Iris","23","34","3.396","2.738","0","60.9","26.1","8.7","4.3","11","5","7","2","2","2","2","0","0","2","1","0","0","0","3","8","0","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","264","7440","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","176","184","3.073","2.775","0.6","38.6","41.5","13.6","3.4","13","3","32","33","29","28","16","7","14","3","3","2","1","5","3","4","1","0","0","0","0","0","0","0","1/24/2014",
"Fall 2013","4138","1","Regular Academic Session","AAAD","AAAD-A","277","32775","IMGS BLACKS FILMS: 1903-1950'S","Horsley,Marsha Nicole","23","30","3.583","2.73","0","82.6","8.7","8.7","0.0","7","3","7","9","0","1","1","0","0","2","0","0","0","0","1","6","0","0","0","0","0","0","0","0","1/24/2014",
