"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2012","4125","6W2","Six Week - Second","AAAD","AAAD-A","104"," 3416","GROUPS THEATRE WORKSHOP","McCutchen,Keith D.","  12","  17","4.000","3.180","0.0","100.0","0.0","0.0","0.0","5","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","08-31-2012",
"Summer 2012","4125","4W1","Four Week - First","AAAD","AAAD-A","131","13626","EARLY AAAD LITERATURE","Horsley,Marsha Nicole","  23","  30","3.335","2.745","0.0","47.8","47.8","0.0","0.0","8","   3","   4","   4","   5","   4","   2","   0","   0","   0","   0","   0","   0","   1","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","08-31-2012",
"Summer 2012","4125","4W2","Four Week - Second","AAAD","AAAD-A","150"," 3417","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","  37","  45","3.492","2.851","2.6","64.9","32.4","2.7","0.0","8","   0","   8","  16","   4","   3","   5","   1","   0","   0","   0","   0","   0","   0","   2","   6","   0","   0","   0","   0","   0","   0","   0","   0","08-31-2012",
"Summer 2012","4125","4W2","Four Week - Second","AAAD","AAAD-A","154","13627","HISTORY OF RACE IN AMERICAS","Doss,Adeyemi Oduwale","  30","  33","4.000","2.726","0.0","100.0","0.0","0.0","0.0","3","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","08-31-2012",
"Summer 2012","4125","4W3","Four Week - Third","AAAD","AAAD-A","249"," 6501","AFRICAN AMERICAN AUTOBIOGRAPHY","McElroy,Frederick L.","  25","  33","3.452","3.191","0.0","44.0","56.0","0.0","0.0","8","   0","   6","   5","   8","   4","   2","   0","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","08-31-2012",
"Summer 2012","4125","4W1","Four Week - First","AAAD","AAAD-A","278","13630","CONTEMPORARY BLACK FILM","Smith,April Faye","  24","  32","3.783","2.972","0.0","83.3","16.7","0.0","0.0","8","  14","   3","   3","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","   0","   0","08-31-2012",
"Summer 2012","4125","6W1","Six Week - First","AAAD","AAAD-A","388"," 3386","MOTOWN","Sykes,Charles Evans","  22","  26","2.909","2.635","3.8","27.3","45.5","18.2","9.1","4","   3","   1","   2","   3","   6","   1","   1","   1","   2","   1","   1","   0","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","08-31-2012",
"Summer 2012","4125","4W1","Four Week - First","AAAD","AAAD-A","590","15376","SPECIAL TOPICS AFRO-AMER STDS","Power-Carter,Stephanie Michelle","   2","   4","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","08-31-2012",
"Summer 2012","4125","1","Regular Academic Session","AAAD","AAAD-A","669"," 3412","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","   1","   2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","08-31-2012",
"Summer 2012","4125","1","Regular Academic Session","AAAD","AAAD-A","689"," 3413","INDEP. PROG. IN BLK LITERATURE","Grim,Valerie","   2","   3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","08-31-2012",
