"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2011","4112","","","AAAD","AAAD-A","100","11544","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","12","15","4.000","3.070","0.0","100.0","0.0","0.0","0.0","3","7","5","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","110","11545","AFRICAN AMERCN CHORAL ENSEMBLE","McCutchen,Keith D.","9","9","3.856","2.700","0.0","88.9","11.1","0.0","0.0","0","5","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","120","11546","SOUL REVUE","Mahluli,Nathanael Fareed","10","13","4.000","2.879","7.7","100.0","0.0","0.0","0.0","3","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","142","11548","INTRO WRITNG & ST OF BL LIT 2","Drieling,Claudia","20","24","3.150","2.956","0.0","35.0","45.0","20.0","0.0","4","1","3","3","4","1","4","3","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","150","11552","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","150","171","3.314","2.999","0.6","59.3","24.7","12.7","1.3","24","19","36","34","9","16","12","7","11","1","0","0","2","3","8","12","1","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","154","17652","HISTORY OF RACE IN AMERICAS","Selka,Stephen","38","49","3.358","2.882","2.5","52.6","31.6","13.2","2.6","11","1","15","4","6","5","1","2","1","2","1","0","0","0","2","9","0","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","156","17976","JIM CROW AND APARTHEID","Stanfield,John H.","10","43","3.540","2.860","4.8","60.0","40.0","0.0","0.0","33","5","1","0","0","2","2","0","0","0","0","0","0","0","9","22","2","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","169","32143","INTRO TO AFRICAN AMERICAN LIT","Williams,Carmen Lanos","23","37","2.078","2.652","3.6","26.1","21.7","21.7","0.0","21","1","3","2","1","1","3","2","1","2","0","0","0","7","5","9","0","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","203","31009","STUDYING BLACKS OF NEW WORLD","Assensoh,Akwasi B.","38","42","3.497","2.735","10.3","47.4","52.6","0.0","0.0","4","5","10","3","6","14","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","06-10-2011",
"Spring 2011","4112","","","AAAD","AAAD-A","265","11557","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","170","185","3.574","3.044","0.6","61.8","34.7","3.5","0.0","15","8","77","20","17","37","5","3","3","0","0","0","0","0","0","14","0","0","1","0","0","0","0","0","06-10-2011",
