name,tags,rmp_info,take_again
"Gutjahr, Paul","['Hilarious (5)', 'Get ready to read (5)', 'Respected (4)', 'Amazing lectures (3)', 'Gives good feedback (2)', 'Beware of pop quizzes (2)', 'Inspirational (2)']",4.8,NA
"Marsh, Joss",[],4.5,NA
"Eklof, Ben","['Gives good feedback (2)', 'Get ready to read (1)', 'Accessible outside class (1)', 'Participation matters (1)']",3.0,NA
"Stanton, Maura",[],4.8,NA
,[],NA,NA
"Hatten, Robert","['So many papers (1)', 'Amazing lectures (1)', 'Lots of homework (1)']",4.5,NA
"Brakke, David",[],4.9,NA
"Shukla, Pravina","['Clear grading criteria (4)', 'Beware of pop quizzes (3)', 'Lots of homework (2)', 'EXTRA CREDIT (1)', 'Get ready to read (1)', 'Test heavy (1)']",4.5,100%
"Schultz, Benjamin","['So many papers (3)', 'Lots of homework (3)', 'Group projects (2)', 'Caring (1)', 'Hilarious (1)', 'Respected (1)']",3.3,NA
"Albanese, Nicholas","['Caring (1)', 'Gives good feedback (1)', 'Hilarious (1)']",4.7,NA
"Powell, Frona",[],3.7,NA
"Rubin, Joel","['Inspirational (1)', 'Participation matters (1)', 'Tough grader (1)', 'Caring (1)', 'Get ready to read (1)']",3.8,NA
,[],NA,NA
"Pearson, Willena",[],4.8,NA
"Davis, James","['Lecture heavy (1)', 'Clear grading criteria (1)', 'Tough grader (1)', 'Graded by few things (1)', 'Beware of pop quizzes (1)', 'Get ready to read (1)']",3.3,NA
"Livingston, Charles",['Caring (1)'],4.1,NA
"Gubar, Ed","['Participation matters (5)', 'Get ready to read (4)', 'Gives good feedback (2)', 'Tough grader (1)', 'Hilarious (1)']",3.8,NA
"Pisoni, David",[],2.9,NA
,[],NA,NA
"Goldstone, Robert","['Tough grader (2)', 'Participation matters (2)', 'Respected (1)', 'EXTRA CREDIT (1)', 'Hilarious (1)']",4.3,NA
"Kruschke, John","['Lots of homework (3)', 'Tough grader (1)', 'Respected (1)', 'Amazing lectures (1)']",4.2,NA
"Van Gucht, Dirk","['Lots of homework (9)', 'Lecture heavy (4)', 'Clear grading criteria (3)', 'Test heavy (3)', 'Amazing lectures (2)', 'Tough grader (1)', 'Accessible outside class (1)', 'Caring (1)', 'Respected (1)']",3.3,50%
"Gasser, Michael",[],3.1,NA
"De Jong, Kenneth","['Lots of homework (2)', 'Caring (1)', 'Participation matters (1)', 'Accessible outside class (1)', 'Hilarious (1)', 'Amazing lectures (1)']",4.0,NA
,[],NA,NA
"Wade, Micheal","['Test heavy (1)', 'EXTRA CREDIT (1)', 'Accessible outside class (1)', 'Gives good feedback (1)']",3.8,NA
"Veidlinger, Jeffry",[],3.8,NA
"Theriault, Todd",[],4.8,NA
"Sternberg, Peter","['Lots of homework (2)', 'Caring (2)', 'Gives good feedback (2)', 'Amazing lectures (2)', 'Clear grading criteria (1)', 'Accessible outside class (1)', 'Respected (1)']",4.9,NA
"Berkvam, Michael",[],4.1,NA
"Hoffmann, Joseph","['Hilarious (3)', 'Amazing lectures (2)', 'Respected (1)', 'Get ready to read (1)', 'Accessible outside class (1)', 'Participation matters (1)']",4.2,NA
"Malacinski, George","['Lots of homework (1)', 'Gives good feedback (1)', 'Get ready to read (1)', 'Lecture heavy (1)', 'Inspirational (1)', 'Graded by few things (1)']",3.4,NA
,[],NA,NA
"Prenkert, Jamie","['Get ready to read (1)', 'Lots of homework (1)']",3.5,NA
"Henson, Phil",[],3.7,NA
"Isaac, Jeffery","['Inspirational (1)', 'Participation matters (1)', 'Tough grader (1)', 'Amazing lectures (1)', 'Get ready to read (1)']",3.2,NA
"Pershing, James A.",[],4.7,NA
"Wheeler, William","['Tough grader (11)', 'Lots of homework (10)', 'Gives good feedback (7)', 'Participation matters (4)', 'Caring (4)', 'Respected (3)', 'Accessible outside class (3)', 'Lecture heavy (2)', 'Inspirational (1)', 'Clear grading criteria (1)']",2.5,46%
,[],NA,NA
"Hengeveld, Susan","['Tough grader (28)', 'Lecture heavy (17)', 'Get ready to read (15)', 'Clear grading criteria (8)', 'Test heavy (5)', 'Accessible outside class (5)', 'Gives good feedback (4)', 'EXTRA CREDIT (4)', 'Caring (3)', 'Participation matters (3)', 'Inspirational (2)', 'Respected (2)', 'Lots of homework (1)']",3.5,63%
"Hite, Peggy",[],3.3,NA
"Falk, Chris",[],4.0,NA
"Tiller, Mike","['Tough grader (2)', 'Inspirational (1)', 'Amazing lectures (1)', 'Respected (1)', 'Clear grading criteria (1)', 'Get ready to read (1)', 'Test heavy (1)']",2.7,NA
"Marcia, Baron","['Get ready to read (3)', 'Beware of pop quizzes (2)', 'Participation matters (1)', 'Tough grader (1)', 'Lecture heavy (1)', 'So many papers (1)', 'Gives good feedback (1)', 'Caring (1)']",2.8,NA
,[],NA,NA
"Anderson, Dana","['Hilarious (6)', 'Inspirational (5)', 'Amazing lectures (5)', 'Respected (2)', 'Gives good feedback (2)', 'Get ready to read (1)', 'EXTRA CREDIT (1)', 'Caring (1)']",4.8,NA
"Haynes, Chris",[],2.2,NA
"Kelly, Susan","['Lots of homework (2)', 'Respected (2)', 'Hilarious (2)', 'Amazing lectures (2)', 'Gives good feedback (1)', 'Get ready to read (1)', 'Inspirational (1)', 'Caring (1)']",3.8,NA
"Osgood, Ron","['Caring (1)', 'Participation matters (1)', 'Group projects (1)']",3.6,NA
"Deliyannis, Deborah","['Tough grader (4)', 'Gives good feedback (2)', 'Caring (2)', 'Get ready to read (2)', 'So many papers (2)', 'EXTRA CREDIT (1)', 'Accessible outside class (1)', 'Lecture heavy (1)', 'Inspirational (1)', 'Clear grading criteria (1)', 'Graded by few things (1)', 'Respected (1)']",3.7,60%
"Rosenbaum, Howard",[],3.3,NA
"Yarber, William","['Test heavy (1)', 'Lots of homework (1)', 'Tough grader (1)', 'Respected (1)', 'Clear grading criteria (1)']",3.1,NA
,[],NA,NA
"Mcnaughton, Patrick",[],3.7,NA
"Hunt, Kevin","['Graded by few things (3)', 'Respected (3)', 'Accessible outside class (3)', 'Lecture heavy (3)', 'Amazing lectures (2)', 'Get ready to read (2)', 'Caring (2)', 'Gives good feedback (1)', 'Tough grader (1)', 'Beware of pop quizzes (1)', 'Inspirational (1)', 'Hilarious (1)']",3.8,100%
"Demallie, Raymond",[],3.7,NA
"Hanratty, Pam","['Tough grader (4)', 'Lecture heavy (3)', 'Caring (2)', 'Lots of homework (1)', 'Accessible outside class (1)', 'Clear grading criteria (1)']",3.9,NA
"Edwards, Rebecca",[],4.8,NA
,[],NA,NA
"Rawlins, Gregory","['Tough grader (1)', 'Group projects (1)', 'Get ready to read (1)']",2.5,NA
"Solomon, June",[],2.3,NA
"Miller, Barb","['Test heavy (2)', 'Lecture heavy (1)', 'Gives good feedback (1)', 'Get ready to read (1)', 'Respected (1)']",4.7,NA
"Purdom, Paul","['Tough grader (2)', 'Caring (1)', 'Gives good feedback (1)']",1.6,NA
"Smith, Linda","['Respected (1)', 'Inspirational (1)', 'Caring (1)']",4.5,NA
,[],NA,NA
"Tsujimura, N",[],3.5,NA
